# exported from the requirements tool 2026-09-07
# WARNING: rows with an empty system_req are NOT errors in the export.
# They are requirements nobody has allocated yet.
customer_req,system_req,coverage,notes
CR-BRD-09-0142,SR-BRD-09-0207,full,
CR-BRD-09-0143,SR-BRD-09-0202,full,
CR-BRD-09-0143,SR-BRD-09-0203,full,
CR-BRD-09-0143,SR-BRD-09-0219,full,
CR-BRD-09-0144,SR-BRD-09-0205,partial,
CR-BRD-09-0144,SR-BRD-09-0218,full,
CR-BRD-09-0145,SR-BRD-09-0209,full,"reviewed, see minutes"
CR-BRD-09-0146,SR-BRD-09-0201,partial,
CR-BRD-09-0146,SR-BRD-09-0220,full,
CR-BRD-09-0147,,,not yet allocated
CR-BRD-09-0148,SR-BRD-09-0200,full,
CR-BRD-09-0148,SR-BRD-09-0211,full,
CR-BRD-09-0149,SR-BRD-09-0212,full,
CR-BRD-09-0149,SR-BRD-09-0217,full,
CR-BRD-09-0150,SR-BRD-09-0202,full,"reviewed, see minutes"
CR-BRD-09-0150,SR-BRD-09-0215,full,
CR-BRD-09-0150,SR-BRD-09-0221,full,
CR-BRD-09-0151,SR-BRD-09-0200,full,
CR-BRD-09-0151,SR-BRD-09-0210,full,
CR-BRD-09-0152,SR-BRD-09-0227,full,
CR-BRD-09-0153,SR-BRD-09-0208,full,
CR-BRD-09-0153,SR-BRD-09-0217,partial,
CR-BRD-09-0153,SR-BRD-09-0223,partial,"reviewed, see minutes"
CR-BRD-09-0154,SR-BRD-09-0199,full,
CR-BRD-09-0154,SR-BRD-09-0222,full,
CR-BRD-09-0155,SR-BRD-09-0213,full,"reviewed, see minutes"
CR-BRD-09-0155,SR-BRD-09-0214,full,
CR-BRD-09-0156,SR-BRD-09-0203,full,
CR-BRD-09-0156,SR-BRD-09-0211,full,
CR-BRD-09-0156,SR-BRD-09-0214,full,
CR-BRD-09-0156,SR-BRD-09-0224,full,
CR-BRD-09-0156,SR-BRD-09-0226,full,
CR-BRD-09-0157,SR-BRD-09-0204,full,
CR-BRD-09-0157,SR-BRD-09-0206,full,
CR-BRD-09-0157,SR-BRD-09-0210,full,"reviewed, see minutes"
CR-BRD-09-0157,SR-BRD-09-0225,full,
CR-BRD-09-0158,SR-BRD-09-0218,full,
CR-BRD-09-0159,SR-BRD-09-0216,full,
CR-BRD-09-0160,,,not yet allocated
CR-BRD-09-0161,SR-BRD-09-0204,full,
CR-BRD-09-0161,SR-BRD-09-0224,full,
CR-BRD-09-0162,SR-BRD-09-0208,full,"reviewed, see minutes"
