# exported from Jira 2026-09-07 by p.strand
# encoding: utf-8, delimiter: comma, quoting: minimal (sic)
key,type,summary,component,severity,found_in,status,created,resolved,change_request
VST-1000,Bug,Motor current ripple above spec at low speed,SWC-SAFEMON,blocker,vehicle,Closed,2026-01-11,2026-07-06,
VST-1001,Story,"Motor current ripple above spec at low speed",SWC-DIAG,minor,vehicle,Closed,2023-07-29,2023-08-12,CHR-2025-0122
VST-1002,Task,"EOL learn times out, intermittently, on line 3",SWC-ASSIST,minor,HIL,Closed,2020-10-15,,
VST-1003,Bug,"Return to centre overshoots at 60 km/h",SWC-MOTCTL,major,field,Open,2024-10-27,2024-11-20,CHR-2023-0152
VST-1004,Task,Assist map discontinuity above 120 km/h,SWC-DAMP,minor,unit,Closed,2019-12-16,2020-01-06,CHR-2021-0197
VST-1005,Bug,Motor current ripple above spec at low speed,SWC-HYSTCOMP,major,HIL,Closed,2025-10-12,2025-11-06,
VST-1006,Story,"Assist map discontinuity above 120 km/h",SWC-ASSIST,minor,unit,In Progress,2023-03-02,2023-08-14,CHR-2025-0186
VST-1007,Bug,Damping step at break point on H1,SWC-ASSIST,minor,HIL,Closed,2023-08-07,2023-12-24,
VST-1008,Story,Motor current ripple above spec at low speed,SWC-DIAG,minor,field,Closed,2024-09-12,,CHR-2022-0153
VST-1009,Story,Hysteresis compensation asymmetric left vs right,SWC-HYSTCOMP,major,vehicle,Blocked,2026-05-14,2026-08-15,
VST-1010,Bug,Hysteresis compensation asymmetric left vs right,SWC-HYSTCOMP,minor,unit,In Progress,2020-11-06,2020-11-20,
VST-1011,Story,"Hysteresis compensation asymmetric left vs right",SWC-DAMP,blocker,field,Closed,2019-09-18,,
VST-1012,Task,"EOL learn times out, intermittently, on line 3",SWC-DIAG,minor,unit,Closed,2019-06-26,,
VST-1013,Bug,Motor current ripple above spec at low speed,SWC-DAMP,blocker,vehicle,Closed,2025-06-05,2025-06-09,CHR-2025-0186
VST-1014,Task,"Torque sensor plausibility trips on cold start",SWC-MOTCTL,major,unit,Closed,2020-07-10,2020-09-17,
VST-1015,Bug,"Hysteresis compensation asymmetric left vs right",SWC-DAMP,major,HIL,Closed,2026-05-17,2026-08-26,CHR-2024-0024
VST-1016,Story,"Hysteresis compensation asymmetric left vs right",SWC-ASSIST,major,unit,Open,2021-07-20,,CHR-2024-0047
VST-1017,Task,Torque sensor plausibility trips on cold start,SWC-MOTCTL,minor,unit,Closed,2024-08-30,2024-12-26,
VST-1018,Story,Return to centre overshoots at 60 km/h,SWC-HYSTCOMP,major,HIL,Closed,2025-10-23,2025-11-28,
VST-1019,Bug,"Return to centre overshoots at 60 km/h",SWC-ASSIST,minor,HIL,Closed,2025-04-20,2025-06-25,
VST-1020,Bug,"Damping step at break point on H1",SWC-DAMP,blocker,HIL,Closed,2024-09-27,2025-01-26,CHR-2023-0054
VST-1021,Bug,"Return to centre overshoots at 60 km/h",SWC-DIAG,minor,unit,In Progress,2026-02-21,2026-06-03,
VST-1022,Story,"EOL learn times out, intermittently, on line 3",SWC-HYSTCOMP,minor,unit,Blocked,2024-11-25,2025-01-21,CHR-2024-0007
VST-1023,Bug,Damping step at break point on H1,SWC-DIAG,minor,vehicle,Closed,2024-06-06,2024-06-23,
VST-1024,Story,Diagnostic DID 0xF190 returns padded string,SWC-ASSIST,major,vehicle,Closed,2020-09-06,,
VST-1025,Bug,Torque sensor plausibility trips on cold start,SWC-HYSTCOMP,minor,vehicle,Blocked,2024-04-02,,
VST-1026,Task,"EOL learn times out, intermittently, on line 3",SWC-ASSIST,blocker,unit,Closed,2023-10-08,2023-11-10,
VST-1027,Task,Assist map discontinuity above 120 km/h,SWC-HYSTCOMP,blocker,unit,Open,2019-01-14,2019-03-26,
VST-1028,Bug,"EOL learn times out, intermittently, on line 3",SWC-HYSTCOMP,minor,HIL,Closed,2024-03-27,2024-05-21,CHR-2021-0090
